id,output,gt,kps
14100107614,0.0,null,"[201.53279460446507, 64.96975058687319, 192.19729414873024, 60.09373841023084, 200.61999827847703, 56.55838911521166, 183.44177199518305, 67.30650919877824, 208.41439432573972, 57.27400822806384, 189.63277535604914, 118.72444311020999, 244.85959191000742, 71.81657652954344, 196.90179736323594, 211.76255336148103, 317.4736518590166, 55.42462250332309, 189.0330829552927, 292.2887628168628, 337.1552374312125, 119.13721270898948, 314.9096874788265, 203.71944793139969, 340.4285472559889, 170.79517795562705, 445.422383456254, 258.11971814386175, 457.8284205695191, 230.27689744964127, 546.2008585193087, 283.11481228061064, 532.3468397051561, 265.89602331860755]"
18100208177,0.0,null,"[232.63201083507818, 144.12031493644764, 238.39950653371307, 138.95903401333334, 236.32285921755502, 139.44572569958348, 252.72575944296787, 141.42174042836277, 248.66282822115357, 140.62113184450808, 258.03969402334764, 169.473900387588, 239.78186870567689, 165.06759608674244, 237.75143824451905, 204.05294448398934, 213.26136529950767, 198.21942150415785, 228.8858112438145, 168.02908910820344, 219.7278749911017, 173.16397396581482, 264.43568640410126, 238.5295327236228, 254.21968620906705, 238.51482401673914, 205.0990789201042, 249.02082823379916, 270.61994864519545, 288.53219338720237, 209.69060172072997, 305.74859526818983, 317.09812326595045, 274.99371153385613]"
14100107690,0.0,null,"[205.56332451328007, 73.0678496624645, 207.9639493882151, 60.44885268034069, 194.6675131866597, 68.64289256754779, 215.74851601037938, 63.48966473309488, 186.43989427538463, 81.683378261031, 250.68566413876692, 78.62289515216212, 204.55352669390854, 142.91148184737222, 306.14473380851365, 55.04751852433394, 215.9106608392821, 219.12930504113348, 314.8695442258126, 64.76466700364084, 204.6274924172764, 284.6338956061937, 351.0279726456157, 166.20202490632337, 327.68468762659893, 191.79338746322233, 433.99179981472554, 225.81807438532573, 416.42485088774356, 227.29337143418508, 531.2387473294274, 274.00413074002233, 507.16847060845134, 253.75170719908633]"
12100105222,0.0,null,"[204.33232848103046, 83.8116456074431, 201.91030973723105, 80.55287151074847, 201.968629391631, 80.15003030578887, 192.63701179650383, 84.67582455786936, 191.58826026544534, 84.71466797462938, 195.54932369312164, 102.85221808311798, 192.00029579316976, 103.88733700055072, 230.47264662386357, 109.62958454506672, 229.39109581780087, 110.48260893294207, 250.35017235002937, 105.60695624782741, 252.69950007839992, 107.63259342276962, 206.29291066816018, 156.36743797956814, 200.5381007867996, 158.66509368682512, 216.70538375421842, 193.40120932394353, 190.53072460766205, 200.79104288393674, 217.84695239274646, 226.2219299511708, 164.1631718558235, 235.58005776427171]"
14100102181,1.0,null,"[301.2533596141212, 185.38154502023215, 291.907575305683, 188.37038027528158, 293.28255609405426, 192.37515604114574, 268.2526050795694, 173.8962909122307, 269.1897456110592, 182.78715380950146, 252.15507712250346, 120.64637508939241, 257.59524528251075, 148.45919359363896, 305.7363055614379, 189.6691600871755, 209.54364522720766, 186.77580436194526, 168.31435484179138, 221.4166318262427, 176.55297548612538, 219.3558015298998, 426.8174378220567, 27.79680754246212, 407.33065195191546, 45.16892329324264, 499.7530015080998, 131.65208047538886, 408.93171906800666, 183.03278769846014, 576.7405285963814, 220.1719979784429, 495.9887920674537, 213.22672111334418]"
14100103415,1.0,null,"[92.56413593896548, 244.54881331453083, 80.1156036523546, 236.55857822913913, 80.71770777566537, 235.14101896538975, 78.90509861589422, 206.9167744831852, 82.39834612171317, 203.79973076798242, 117.10072133458843, 194.6407369184023, 143.90001705320884, 152.3190176216289, 195.644919605048, 202.93403930399182, 217.71193440973272, 165.09225664086387, 179.53674677113807, 263.82349862989224, 205.57716261728538, 225.34806556727662, 300.1737095519238, 190.58548926782532, 301.39102322325255, 175.4175988995489, 418.5174261022414, 224.28665900008428, 419.81696516230824, 202.38283288356982, 536.1468625706956, 224.0852798231594, 519.6575211619473, 199.34746822515726]"
12100105228,0.0,null,"[203.345196001117, 84.44261338402573, 200.11601110470434, 81.62749980964212, 201.26155280694985, 81.47752355641735, 191.9664134867319, 86.56428583894187, 191.98418897611768, 86.96009999928815, 192.42397600229424, 105.53711998162355, 193.6814359146941, 104.5665663730861, 225.69701873912797, 103.50421987784405, 229.2625938004141, 103.497006783187, 247.32664493863604, 97.09590724347909, 251.75729904174347, 97.15592615340685, 205.32829449524135, 159.577843636932, 201.31897253665335, 159.31764288345948, 214.94960789936937, 196.2412886013067, 187.79029715199155, 201.7905121255237, 218.45249361650477, 228.53940817880726, 163.22711815271418, 235.49987121562108]"
14100110108,1.0,null,"[85.47849940915717, 227.8061931332332, 77.13816917448707, 220.93265889100232, 76.50085616878526, 220.60688222511516, 82.60277926088358, 195.68564771585844, 80.84385042281231, 192.78071614630755, 117.22292263080145, 179.77794122001887, 135.23418174040495, 144.92391204669343, 197.66925687752996, 200.9056882805734, 207.19567613369662, 159.86570584600395, 179.3519249054302, 262.51827377604644, 201.55790121155644, 219.1121278211203, 301.4835206398085, 187.20806839624683, 302.01860956495426, 170.20373942713968, 422.3720285231822, 221.2939015536133, 424.20371146857065, 200.97175592160806, 542.1025201243033, 224.90252089037338, 528.16288338117, 201.40603621499147]"
12100105003,0.0,null,"[206.95510104042995, 72.39830840087033, 204.34397484717357, 69.1877004907681, 204.0965154556837, 68.71919393036306, 194.02741844614874, 72.73484307253031, 194.05839180369207, 73.45461100388268, 197.48451310254646, 88.81695816243733, 197.37134607133345, 89.84227077864448, 229.81555762105214, 85.93532893296063, 229.25820354353726, 86.3498763210152, 250.70886029187218, 78.23750873251171, 253.0397146048187, 79.11298912505517, 207.70313789729997, 142.2973508493761, 199.84096548163663, 142.27266405415708, 220.93012772120997, 180.73102496314596, 186.7327550130886, 189.0679735121281, 226.68647968219423, 214.37551818696602, 156.4280092049072, 221.07352117077355]"
18100208047,0.0,null,"[478.8200265095792, 89.58509957395721, 483.5524600500525, 84.1054139958771, 478.01044396297056, 83.83436805724513, 497.3001971600383, 83.98347758977658, 483.50932596312396, 82.5531504122401, 507.8249459254833, 111.53252059754605, 475.8435168283588, 110.26022070864593, 494.5906727387111, 151.55418041584278, 458.2180921045972, 149.5934189914725, 477.4267393004315, 119.76309456192686, 462.707164530258, 118.75992332775193, 499.0527312902469, 182.72559405479993, 480.0422856819336, 182.81156444369014, 500.73072825575855, 237.3132431520963, 482.8952746180617, 236.45898780569146, 512.5404872159304, 286.80895375118916, 498.018914572266, 284.54624510419006]"
